CUI,CUI_STR,LOINC_PART,LOINC_PART_NAME
C2963858,I could get up from a regular toilet in past 7D,LP103323-4,I could get up from a regular toilet in past 7D
C3261079,"Does this person hassle you, cause you problems, or make your life difficult",LP133514-2,"Does this person hassle you, cause you problems, or make your life difficult"
C0201504,Leukocyte histamine release test,LP6366-1,LHR
C1443996,Anti-dengue IgG antibody,LP37907-0,Dengue virus Ab.IgG
C1443996,Anti-dengue IgG antibody,LP432619-7,Dengue virus Ab IgG
C1526870,Immune complex.C3d+IgG,LP34622-8,Immune complex.C3d+IgG
C1508300,Deoxypyridinoline/Pyridinoline,LP33289-7,Pyridinoline+Deoxypyridinoline
C1508300,Deoxypyridinoline/Pyridinoline,LP99584-2,Pyridinoline & Deoxypyridinoline
C1508300,Deoxypyridinoline/Pyridinoline,LP285884-5,Deoxypyridinoline/Pyridinoline
C3174129,Does your child complain that he or she feels sleepy during the day,LP116815-4,Does your child complain that he or she feels sleepy during the day
C1275743,Co-morbid conditions,LP185958-8,Comorbid condition
C2735156,Phenylbutazone Ab.IgE,LP147909-8,Phenylbutazone Ab.IgE
C3533099,3-Methylhistidine/Amino acids.total,LP284791-3,3-Methylhistidine/Amino acids.total
C1717885,Hepatitis C virus c100p+5-1-1 Ab,LP38341-1,Hepatitis C virus c100p+5-1-1 Ab
C2963709,How often did you eat cheese in the past 30D,LP102630-3,How often did you eat cheese in the past 30D
C0045574,"2,5-hexanedione",LP18222-7,"2,5-Hexanedione"
C2963912,I felt fatigued in the past 7D,LP103069-3,I feel fatigued during the past 7D
C2963912,I felt fatigued in the past 7D,LP134188-4,I felt fatigued in the past 7D
C3533052,I had outbreaks of uncontrolled anger or physically attacked others in last W,LP157907-9,I had outbreaks of uncontrolled anger or physically attacked others in last W
C0009462,Community,LP281740-3,^Community
C0009462,Community,LP76011-3,Community
C0025826,methyltestosterone,LP15737-7,methylTESTOSTERone
C1148348,Date of death,LP72369-9,Date of death
C1439825,8 hours post dose corticotropin,LP20922-8,8H post dose corticotropin
C2598005,3-Hydroxystearoylcarnitine (C18-OH)/Creatinine,LP284770-7,3-Hydroxystearoylcarnitine (C18-OH)/Creatinine
C3259657,Feel Useless at Times,LP129153-5,I certainly feel useless at times
C0043331,Xanthurenates,LP15954-8,Xanthurenate
C2963241,About how often did you eat fruit (not juices) in past 12Mo,LP102753-3,About how often did you eat fruit (not juices) in past 12Mo
C0015385,Limb structure,LP199969-9,Extremity
C0015385,Limb structure,LP121777-9,Extremity
C0015385,Limb structure,LP7216-7,Extremities
C0015385,Limb structure,LP29945-0,Extremity
C0015385,Limb structure,LP7395-9,Limbs
C1425445,ASXL1 gene,LP265686-8,ASXL1 gene
C1507000,Nutrition intake pattern,LP34369-6,Nutrition intake pattern
C1718708,Borrelia burgdorferi 31kD Ab,LP37350-3,Borrelia burgdorferi 31kD Ab
C0012386,Dimethadione,LP15540-5,Dimethadione
C0370199,Aspirate substance,LP7037-7,Asp
C3166118,PhenX measure - respiratory - pulse oximetry - exercise,LP111971-0,PhenX measure - respiratory - pulse oximetry - exercise
C1333663,GATA1 gene,LP213612-7,GATA1 gene
C1624177,Event description.laboratory,LP36141-7,Event description.laboratory
C1979000,Indirect antiglobulin test.XXX reagent,LP65878-8,Indirect antiglobulin test.XXX reagent
C1269795,Specimen margin closest to tumor,LP73376-3,Closest margin
C0030851,penis,LP34092-4,Penis
C0030851,penis,LP208052-3,Penis
C0162577,Angioplasty,LP266841-8,Angioplasty
C0162577,Angioplasty,LP33382-0,Guidance for angioplasty
C0162577,Angioplasty,LP268887-9,Angioplasty
C0805190,Author ID,LP73917-4,Author ID
C0883007,Dirofilaria immitis antigen,LP37930-2,Dirofilaria immitis Ag
C1440744,HIV 2 p56,LP15054-7,HIV 2 p56
C1628560,Bordetella pertussis Ab.IgA & IgG & IgM panel,LP35909-8,Bordetella pertussis Ab.IgA & IgG & IgM panel
C0389071,Adiponectin,LP61813-9,Adiponectin
C1382176,CYP2B6 gene,LP157451-8,CYP2B6 gene
C1320093,GM1 IgM ganglioside antibody,LP38227-2,Ganglioside GM1 Ab.IgM
C1718567,Peripheral arteries - bilateral,LP250995-0,XXX>Peripheral arteries.bilateral
C1718567,Peripheral arteries - bilateral,LP36707-5,Peripheral arteries.bilateral
C3258133,Rolling over - difficulty - score,LP140247-0,Rolling over - difficulty - score
C3261783,I have trouble doing my regular chores or tasks in the past 7D,LP134336-9,I have trouble doing my regular chores or tasks in the past 7D
C1115386,Cortisone/Creatinine,LP285814-2,Cortisone/Creatinine
C1317586,Organic acids pattern,LP30850-9,Organic acids pattern
C1115266,Capsicum annuum Ab.IgE.RAST class,LP227884-6,Capsicum annuum Ab.IgE.RAST class
C2707602,Primary respondent for daily and activity preferences,LP89934-1,Primary respondent for daily and activity preferences
C3176910,Goosefoot (Chenopodium album) recombinant (rChe a) 1,LP118302-1,Chenopodium album recombinant (rChe a) 1
C0807385,Phospholipid Ab.IgA,LP39384-0,Phospholipid Ab.IgA
C2361189,Clot formation.intrinsic coagulation system activated.heparin insensitive,LP69280-3,Clot formation.intrinsic coagulation system activated.heparin insensitive
C3258072,Provider of AED use prior to EMS arrival,LP133254-5,Provider of AED use prior to EMS arrival
C3476425,Promyelocytic leukemia protein distribution pattern,LP150209-7,Promyelocytic leukemia protein distribution pattern
C0072348,Protein C Inhibitor,LP16904-2,Protein C inhibitor
C0072348,Protein C Inhibitor,LP269101-4,Protein C inhibitor.activated
C0230432,Structure of left knee,LP30093-6,Knee.left
C0807971,Sodium urate crystal,LP18869-5,Sodium urate crystals
C3174361,Actinidia deliciosa native (nAct d) 1 Ab.IgE,LP148252-2,Actinidia deliciosa native (nAct d) 1 Ab.IgE
C0014533,Epididymis,LP33672-4,Epididymis
C0014533,Epididymis,LP199924-4,Epididymis
C0458827,Airway structure,LP30479-7,Airway
C0458827,Airway structure,LP200368-1,Airway
C1446498,Fox antigen,LP18542-8,Fox
C1954721,Influenza virus A & B identified,LP201811-9,Influenza virus A & B identified
C1954721,Influenza virus A & B identified,LP63671-9,Influenza virus A+B identified
C3173590,Fifth most predominant hemoglobin,LP115818-9,Fifth most predominant hemoglobin
C1115540,Haemophilus influenzae A DNA,LP38276-9,Haemophilus influenzae A DNA
C1270719,Mesquite specific immunoglobulin E,LP148096-3,Prosopis juliflora Ab.IgE
C1636081,Aspergillus fumigatus IgM,LP37118-4,Aspergillus fumigatus Ab.IgM
C0031591,Phosgene,LP34824-0,Phosgene
C0042587,Vesicular stomatitis Indiana virus,LP14290-8,Vesicular stomatitis Indiana virus
C0262950,Skeletal bone,LP212843-9,Bones
C0262950,Skeletal bone,LP29159-8,Bone
C0262950,Skeletal bone,LP29835-3,Bones
C0262950,Skeletal bone,LP209032-4,Bone
C2599566,pre dose methacholine,LP71986-1,pre dose methacholine
C3177130,Lepidoglyphus destructor recombinant (rLep d) 2,LP118312-0,Lepidoglyphus destructor recombinant (rLep d) 2
C3260599,I had trouble planning out steps of a task in the past 7D,LP134252-8,I had trouble planning out steps of a task in the past 7D
C0032150,Plasmodium falciparum,LP14839-2,Plasmodium falciparum
C0883324,Views portable,LP33539-5,Views portable
C1440732,HIV 1 p68,LP18211-0,HIV 1 p68
C1442945,Testosterone.total,LP32165-0,Testosterone.total
C3251812,Bleeding risk,LP209013-4,Bleeding risk
C3172797,Did you continue to use this drug knowing it caused hepatitis,LP114227-4,Did you continue to use this drug knowing it caused hepatitis
C1115771,Other medications,LP73032-2,Other medications
C3166763,Which of the services did you or your partner have to help you have a baby together,LP116880-8,Which of the services did you or your partner have to help you have a baby together
C0046596,o-xylene,LP18392-8,"1,2-Dimethylbenzene"
C1115534,Guidance for procedure,LP33525-4,Guidance for procedure
C1551338,Entity,LP431416-9,Entity
C1551338,Entity,LP431089-4,^Entity
C2737239,Heart rate 4 chamber,LP32065-2,Heart rate.4 chamber
C0805206,Avian leukosis virus Ag,LP37157-2,Avian leukosis virus Ag
C1659449,Name of follow-up contact,LP72975-3,Name of follow-up contact
C0369841,Phytanate,LP32120-5,Phytanate
C0369841,Phytanate,LP15807-8,Phytanate
C2736487,C little h super little a Ag,LP97976-2,C little h super little a Ag
C3533218,PEDS-DM (Parent's Evaluation of Developmental Status - Developmental Milestones),LP156486-5,P.E.D.S.-DM
C3533218,PEDS-DM (Parent's Evaluation of Developmental Status - Developmental Milestones),LP155782-8,Parents' evaluation of developmental status - developmental milestones
C0061104,GD2-ganglioside,LP99610-5,Ganglioside GD2
C0182400,Probes,LP208606-6,Probe
C1717879,Hearing aid present & used,LP74916-5,Hearing aid present & used
C0333052,Version,LP73671-7,Version
C0006257,Structure of bronchial artery,LP251117-0,Bronchial artery
C0006257,Structure of bronchial artery,LP33910-8,Chest>Bronchial artery
C0449698,Site of recording,LP429018-7,Recording site
C2708132,Respite care in last 14D - while a resident,LP90965-2,Respite care in last 14D - while a resident
C2735551,Hemoglobin disorders newborn screening comment-discussion,LP97621-4,Hemoglobin disorders newborn screening comment-discussion
C2945823,Musculoskeletal status is maintained at or improved from baseline levels,LP430711-4,Musculoskeletal status is maintained at or improved from baseline levels
C3172754,Have you ever used marijuana to keep from having any of these problems or to make them go away,LP114203-5,Have you ever used marijuana to keep from having any of these problems or to make them go away
C0424680,Skin-fold thickness (finding),LP73365-6,Skin fold thickness
C3176394,"Did your main daytime activities during a typical work W have you on water for a total of three or more H a D, for example working on a boat",LP121424-8,"Did your main daytime activities during a typical work W have you on water for a total of three or more H a D, for example working on a boat"
C3257844,My neighborhood is safe from crime,LP133470-7,My neighborhood is safe from crime
C0553003,Tetrasialylganglioside GQ1b Ab.IgG,LP39973-0,Tetrasialylganglioside GQ1b Ab.IgG
C1412481,APOE gene,LP19650-8,APOE gene
C1442291,Heart.great vessels^fetus,LP30028-2,Heart.great vessels^fetus
C3177137,LW^a,LP118935-8,LW super little a
C3475906,I have pain in my joints in the past 7D,LP146768-9,I have pain in my joints in the past 7D
C2964514,Supine neck rotation (left),LP101846-6,Supine neck rotation (left)
C0033909,Psychology,LP6468-5,Psychology
C1441457,Disk diffusion (KB),LP6105-3,Agar diffusion
C1533126,milnacipran,LP100045-6,Milnacipran
C2924422,HLA Ab.IgG,LP100707-1,HLA Ab.IgG
C0805228,Barbiturates confirm method,LP32821-8,Barbiturates confirm method
C1317481,Keratin Ab,LP38761-0,Keratin Ab
C1441787,Ultrasound 2D.pulmonic valve.calculated,LP6595-5,US.2D.pulmonic valve.calculated
C3475419,"t(11;22)(p13;q12.2)(WT1,EWSR1) fusion transcript",LP229732-5,"t(11;22)(p13;q12.2)(WT1,EWSR1) fusion transcript"
C1441335,Yellow Dye Antigen,LP19249-9,Yellow dye
C1829965,Upper extremity vessel - bilateral,LP40369-8,Upper extremity.bilateral>Upper extremity vessels
C1829965,Upper extremity vessel - bilateral,LP212106-1,Upper extremity.bilateral>Upper extremity vessel
C2361954,PANEL.SURVEY.NMMDS,LP69882-6,PANEL.SURVEY.NMMDS
C3175091,Anacardium occidentale recombinant (rAna o) 2 Ab.IgE,LP148196-1,Anacardium occidentale recombinant (rAna o) 2 Ab.IgE
C1545415,Orthopedic screen assessment,LP74199-8,Orthopedic screen assessment
C3534092,Creatinine in dialysis fluid,LP69228-2,Creatinine dial fld
C0002645,amoxicillin,LP15265-9,Amoxicillin
C0032961,Pregnancy,LP207970-7,Pregnancy
C0032961,Pregnancy,LP133213-1,Pregnancy
C0032961,Pregnancy,LP100811-1,Pregnancy
C0032961,Pregnancy,LP73139-5,Pregnancies
C0946172,Legionella dumoffii Ab,LP38810-5,Legionella dumoffii Ab
C0962301,fibroblast growth factor 23,LP40488-6,Fibroblast growth factor 23
C0962301,fibroblast growth factor 23,LP61818-8,Fibroblast growth factor 23.intact
C1293992,Jones methenamine stain method,LP6383-6,Methenamine silver stain.Jones
C0486435,Beta-2-microglobulin amyloid antigen,LP37274-5,Beta-2-microglobulin amyloid Ag
C0946097,GF border code,LP72639-5,GF border code
C0009002,clofibrate,LP16082-7,Clofibrate
C0054718,carbophenothion,LP17911-6,Carbophenothion
C3165982,PhenX measure - disinhibiting behaviors - impulsivity,LP112454-6,PhenX measure - disinhibiting behaviors - impulsivity
C0882795,Cells.CD15,LP19016-2,Cells.CD15
C1439401,1.5 hours post 200 ug TRH IV,LP31612-2,1.5H post 200 ug TRH IV
C2737185,Protective body movements or postures in last 5D,LP90057-8,Protective body movements or postures in last 5D
C2924512,Phenylketonuria and variants &or biopterin defects newborn screening comment-discussion,LP98857-3,Phenylketonuria and variants &or biopterin defects newborn screening comment-discussion
C2316810,Chronic kidney disease stage 5,LP128701-2,End-stage renal disease
C0807318,Pasteurella multocida serotype,LP40313-6,Pasteurella multocida serotype
C3175933,Do you have great difficulty waking up in the morning,LP119668-4,Do you have great difficulty waking up in the morning
C0807241,P wave duration.lead V3,LP30978-8,P wave duration.lead V3
C0808058,ST wave displacement.mid.lead V6,LP31224-6,ST wave displacement.mid.lead V6
C0023974,Loneliness,LP432994-4,Feeling lonely
C0486514,Cat epithelium Ab.IgE,LP285240-0,Cat epithelium Ab.IgE
C0487303,Paper Ab.IgE,LP148489-0,Paper Ab.IgE
C1370176,Nordothiepin,LP33037-0,Nordothiepin
C3166751,Where was your mother's mother born,LP113836-3,Where was your mother's mother born
C3173918,Kidney transplant center non-dialysis patients who are awaiting a kidney transplant at end of period,LP116298-3,Kidney transplant center non-dialysis patients who are awaiting a kidney transplant at end of period
C0453228,Pinto beans,LP17319-2,Bean pinto
C0489828,Fluid intake substance,LP7242-3,Fluid intake substance
C1440002,Epidermal Allergen Mix 72 (Budgerigar feather+Canary feather+Finch feather+Parakeet feather+Parrot feather),LP18703-6,(Budgerigar feather+Canary feather+Finch feather+Parakeet feather+Parrot feather)
C3476206,My Health is Excellent,LP155742-2,My health is excellent
C3482055,Feeling distant or cut off from other people in the last Mo,LP145945-4,Feeling distant or cut off from other people in the last Mo
C0042872,Vitamin D-Binding Protein,LP15457-2,Calciferol binding proteins
C1825562,IFITM5 gene,LP188455-2,IFITM5 gene
C1440361,CD83 cells,LP19106-1,Cells.CD83
C1425650,LRRK2 gene,LP71431-8,LRRK2 gene
C1439920,pre dose TRH IN,LP20870-9,pre dose TRH IN
C1657623,Longitude,LP72885-4,Longitude
C1953128,2-Methylglutarate/Creatinine,LP284716-0,2-Methylglutarate/Creatinine
C0807112,NF1 gene mutations tested for,LP229101-3,NF1 gene mutations tested for
C2736710,Behavioral symptoms - care area triggered,LP98488-7,Behavioral symptoms - care area triggered
C1317178,CD45 positive events,LP32753-3,CD45 positive events
C3165682,PhenX - family history of diabetes protocol,LP112328-2,PhenX - family history of diabetes protocol 140201
C3475605,I am bothered by sensitivity around my fingernails or toenails in the past 7D,LP146719-2,I am bothered by sensitivity around my fingernails or toenails in the past 7D
C0011038,Dichlorodiphenyl Dichloroethylene,LP15060-4,Dichlorodiphenyldichloroethylene
C1441537,Computed tomography measured,LP32210-4,CT.measured
C1332826,CYP1A2 gene,LP157423-7,CYP1A2 gene
C1507067,Supplements section,LP73432-4,Supplements section
C3173764,"In the past Y, have you been treated with steroid pills or injections, such as predniSONE or solumedrol, for a chest illness",LP116170-4,"In the past Y, have you been treated with steroid pills or injections, such as predniSONE or solumedrol, for a chest illness"
C1370214,Rubella virus Ab.IgG & IgM panel,LP33004-0,Rubella virus Ab.IgG & IgM panel
C1440315,CD45RA cells,LP19061-8,Cells.CD45RA
C1525403,Cells.CD33+CD34+/100 cells,LP285460-4,Cells.CD33+CD34+/100 cells
C0001057,Beta-N-Acetylglucosaminidase,LP15740-1,N-acetyl-beta-glucosaminidase
C3173720,How many cigarettes do you smoke per D now,LP115938-5,How many cigarettes do you smoke per D now
C0805271,Bean yellow Ab.IgG.RAST class,LP227760-8,Bean yellow Ab.IgG.RAST class
C1977030,Narcissus sp Ab.IgE,LP147820-7,Narcissus sp Ab.IgE
C0369838,Phospholipid Antibody.immunoglobulin G,LP39385-7,Phospholipid Ab.IgG
C3175742,"Have you ever injured your head or neck in a car accident or from some other moving vehicle accident, motorcycle, ATV",LP119054-7,"Have you ever injured your head or neck in a car accident or from some other moving vehicle accident, motorcycle, ATV"
C3476492,Service comment 66,LP145462-0,Service comment 66
C0007258,carnitine,LP14482-1,Carnitine
C3475669,I believe that an infusion for my bone treatment will cause me physical pain,LP146681-4,I believe that an infusion for my bone treatment will cause me physical pain
C0009262,colchicine,LP18089-0,Colchicine
C0369421,Human leukocyte antigen B51(5),LP16569-3,HLA-B51(5)
C1425041,SARS2 gene,LP188510-4,SARS2 gene
C3176437,During these episodes of overeating and loss of control did you eat alone because you were embarrassed by how much you were eating,LP121618-5,During these episodes of overeating and loss of control did you eat alone because you were embarrassed by how much you were eating
C3176955,Du^a,LP118926-7,D little u super little a
C3260080,How many times in the last Y have you attacked someone with a weapon or with the idea of seriously hurting or killing them,LP129945-4,How many times in the last Y have you attacked someone with a weapon or with the idea of seriously hurting or killing them
C3165710,PhenX - healthy food environments protocol,LP112577-4,PhenX - healthy food environments protocol 210701
C3173882,Home dialysis patients lost to follow up,LP116260-3,Home dialysis patients lost to follow up
C0348026,Diagnostic,LP31676-7,Diagnostic
C0348026,Diagnostic,LP249287-6,Diagnostic
C0348026,Diagnostic,LP263806-4,Diagnostic
C0487052,lu^a antibody,LP38776-8,L little u super little a Ab
C1960679,Influenza B virus Victoria lineage,LP182335-2,Influenza virus B Victoria lineage
C3176458,Onset psychiatric illness,LP121677-1,Onset psychiatric illness
C3483090,Additional concerns - FACT-BMT,LP147253-1,Additional concerns - FACT-BMT
C0455458,PMH - past medical history,LP74217-8,Past medical history
C0925962,Right cheek,LP76048-5,Cheek.right
C3175357,Did you ever have an attack when you were not in a situation that usually causes you to have unreasonably strong fears,LP119545-4,Did you ever have an attack when you were not in a situation that usually causes you to have unreasonably strong fears
C1546069,9.5 hours post XXX challenge,LP35484-2,9.5H post XXX challenge
C1617580,"inositol 1,4,5-trisphosphate receptor type 1",LP420693-6,"Inositol 1,4,5-trisphosphate receptor type 1"
C2734118,Candida albicans IgA,LP95520-0,Candida albicans Ab.IgA
C0150081,Spiritual distress,LP75661-6,Spiritual distress
C1441898,Ultrasound+Estimated from BPD.Hansmann 1985,LP6685-4,US+Estimated from BPD.Hansmann 1985
C3475591,I am bothered by increased facial hair in the past 7D,LP146721-8,I am bothered by increased facial hair in the past 7D
C0369095,d antibody,LP37888-2,D Ab
C0369095,d antibody,LP37898-1,D NOS Ab
C3534378,NPM1 gene c.956dupTCTG transcript,LP157152-2,NPM1 gene.c.956dupTCTG transcript
C0805495,Cat epithelium Ab.IgE.RAST class,LP285241-8,Cat epithelium Ab.IgE.RAST class
C0805686,Cockatiel droppings Ab,LP37744-7,Cockatiel droppings Ab
C1508720,Upper extremity vessel - left,LP200375-6,Upper extremity.left>Upper extremity vessels
C1508720,Upper extremity vessel - left,LP212104-6,Upper extremity.left>Upper extremity vessel
C1955085,10 PM specimen,LP63589-3,10 PM specimen
C2736843,at body weight.max,LP95305-6,at body weight.max
C1718434,Unpleasant mood in morning,LP75822-4,Unpleasant mood in morning
C0370219,Platelet poor plasma (substance),LP7494-0,PPP
C1717574,Aspergillus fumigatus H Ab,LP37125-9,Aspergillus fumigatus H Ab
C2360012,View AP lateral-decubitus,LP70065-5,View AP lateral-decubitus
C2599766,"Follow-up (referred to) provider &or specialist, catchment location indicator",LP74063-6,"Follow-up (referred to) provider &or specialist, catchment location indicator"
C1412290,AGXT gene,LP136154-4,AGXT gene
C3173450,Has any relative in your family been diagnosed with a cleft lip or palate,LP115572-2,Has any relative in your family been diagnosed with a cleft lip or palate
C1954027,Do you feel that your life is empty,LP74765-6,Do you feel that your life is empty
C1979534,2 days post dose ifosfamide,LP65322-7,2D post dose ifosfamide
C3174672,Does your child care how he or she is perceived by the rest of the group,LP118512-5,Does your child care how he or she is perceived by the rest of the group
C3482321,Cholesterol.periton fld/Cholesterol.serum,LP285752-4,Cholesterol.periton fld/Cholesterol.serum
C2737024,Glycine max Ab.IgG4,LP95819-6,Glycine max Ab.IgG4
C0026969,Myelin,LP14877-2,Myelin
C1439958,Alternaria alternata+American house dust mite,LP28554-1,(Alternaria alternata+Dermatophagoides farinae)
C0034917,Reduced Glutathione,LP70335-2,glutathione.reduced
C0034917,Reduced Glutathione,LP15616-3,Glutathione.reduced
C0317569,Haemophilus parasuis,LP250692-3,Haemophilus parasuis
C0427611,Activated clotting time measurement,LP15960-5,
C0427611,Activated clotting time measurement,LP207644-8,Activated clotting time
C2737105,Iva ciliata Ab.IgG4,LP95752-9,Iva ciliata Ab.IgG4
C0487741,Whitefish Ab.IgG,LP40171-8,Whitefish Ab.IgG
C2963933,I felt like I was ready to explode in past 7D,LP103093-3,I felt like I was ready to explode in past 7D
C1508325,View Jones,LP266857-4,Jones
C1508325,View Jones,LP33733-4,View Jones
C3258234,There is too much pressure on you to be like other people,LP130166-4,There is too much pressure on you to be like other people
C0015672,Fatigue,LP74831-6,Fatigue
C0015672,Fatigue,LP433001-7,Lack of energy
C0046056,fluorodeoxyglucose F18,LP234189-1,18F-FDG
C0046056,fluorodeoxyglucose F18,LP231799-0,18F-FDG
C1115910,Populus tremula Ab.IgE,LP148315-7,Populus tremula Ab.IgE
C0487662,Toxocara canis IgA,LP40016-5,Toxocara canis Ab.IgA
C0034553,Radioactivity,LP31505-8,Radioactivity
C0805947,Duck enteritis virus Ag,LP37952-6,Duck enteritis virus Ag
C0947326,Microbiology studies,LP74161-8,Microbiology studies
C1829490,1.5 hours post 1 ug/kg CRH IV,LP40379-7,1.5H post 1 ug/kg CRH IV
C3166513,Waking up too early in past 7D,LP119616-3,Waking up too early in past 7D
C0282350,Sexual abuse,LP231632-3,Sexual abuse
C0805627,Chlordiazepoxide+Norchlordiazepoxide,LP19549-2,chlordiazePOXIDE+Norchlordiazepoxide
C1440405,"t(12;22)(q13;q12.2)(ATF1,EWSR1) cells",LP19812-4,"Cells.t(12;22)(q13;q12.2)(ATF1,EWSR1)"
C1314986,Occupational Therapy attachment,LP29665-4,ATTACH.REHAB.OT
C3174640,"Have you ever had a sudden spell of double vision, which lasted 24 H or longer",LP120709-3,"Have you ever had a sudden spell of double vision, which lasted 24 H or longer"
C0539969,tecastemizole,LP18155-9,Norastemizole
C1565821,abrine,LP90866-2,Abrine
C0031476,Phenylethylmalonamide,LP18086-6,Phenylethylmalonamide
C0062856,HLA-C*05 antigen,LP16579-2,HLA-Cw5
C0230097,Structure of waist (surface region),LP7718-2,Waist
C0587716,Nurse Psychotherapist,LP185839-0,Mental health.nurse
C1440254,CD128 cells,LP19015-4,Cells.CD128
C0038149,stanozolol,LP16281-5,Stanozolol
C0203634,Nuclear medicine procedure,LP208655-3,NM
C0203634,Nuclear medicine procedure,LP208891-4,NM
C0945960,Clostridium difficile IgA,LP37705-8,Clostridioides difficile Ab.IgA
C0007789,Cerebral Palsy,LP74604-7,Cerebral palsy
C0023263,Fabaceae,LP19368-7,Legume
C1826260,MMACHC gene,LP417406-8,MMACHC gene
C1977303,Newborn screening recommended follow-up,LP64579-3,Newborn screening recommended follow-up
C2589068,Communicable &or infectious condition function.knowledge,LP76260-6,Communicable &or infectious condition function.knowledge
C3175148,Do you experience any of these things during the daytime due to your difficulties falling asleep or staying asleep at night,LP120660-8,Do you experience any of these things during the daytime due to your difficulties falling asleep or staying asleep at night
C3175581,I return insults,LP118981-2,I return insults
C1148362,Hepatitis B virus genotype,LP174044-0,Hepatitis B virus genotype
C0883018,Eastern equine encephalitis virus RNA,LP37970-8,Eastern equine encephalitis virus RNA
C1439590,2 hours post 100 g lutropin IV,LP20369-2,2H post 100 g lutropin IV
C1317543,Immature monocytes,LP31551-2,Monocytes.immature
C1627399,Insulin delivery device panel,LP36386-8,Insulin delivery device panel
C3169376,Niemann Pick disease A+B newborn screening panel,LP111183-2,Niemann Pick disease A+B newborn screening panel
C3176195,Are you now taking insulin,LP124917-8,Are you now taking insulin
C1830012,human histocompatibility complex derived antigens-Cw locus,LP36177-1,HLA-Cw locus
C3533082,UGT1A1 gene.c.A(TA)7TAA(*28),LP157499-7,UGT1A1 gene.c.A(TA)7TAA(*28)
C1718492,Views tunnel,LP36640-8,Views tunnel
C2964113,I worried when I was at home in past 7D,LP103254-1,I worried when I was at home in past 7D
C0011279,nordazepam,LP16104-9,Nordiazepam
C0060837,fumonisin B2,LP263240-6,Fumonisin B2
C0319499,Absidia corymbifera,LP21141-4,Absidia corymbifera
C0882968,Chlamydophila pneumoniae+Chlamydophila psittaci DNA,LP37659-7,Chlamydophila pneumoniae+Chlamydophila psittaci DNA
C0489829,Mathematical formula,LP7250-6,Formula
C1291218,Carbonyldiamide,LP14492-0,Urea nitrogen
C1291218,Carbonyldiamide,LP32176-7,Urea nitrogen
C1291871,"Immunoglobulin, L chain, kappa amyloid antigen",LP38625-7,Immunoglobulin light chains.kappa amyloid Ag
C2963300,Are you able to jump up and down,LP102835-8,Are you able to jump up and down
C0487170,Lymphocytic choriomeningitis virus IgM,LP38976-4,Lymphocytic choriomeningitis virus Ab.IgM
C1545421,Other screen finding recency,LP74210-3,Other screen finding recency
C1954757,Erythrocytes.CD59/100 erythrocytes,LP285985-0,Erythrocytes.CD59/100 erythrocytes
C2924240,Collaborative staging post treatment extension,LP100394-8,Collaborative staging post treatment extension
C3475625,I am embarrassed by having diarrhea in the past 7D,LP146914-9,I am embarrassed by having diarrhea in the past 7D
C1115094,Agaricus hortensis Ab.IgG.RAST class,LP227557-8,Agaricus hortensis Ab.IgG.RAST class
C1419834,SCA2 gene,LP33186-5,SCA2 gene
C1442209,XXX bone,LP40373-0,XXX bone
C1442209,XXX bone,LP213599-6,XXX>Bone
C1442209,XXX bone,LP212842-1,XXX>Bones
C2709087,post dose dexamethasone PO overnight,LP93357-9,post dose dexamethasone PO overnight
C0078849,zotepine,LP266724-6,Zotepine
C2708683,Hours after meal,LP94659-7,Hours after meal
C0042839,vitamin A,LP31687-4,Vitamin A
C1829585,post 2 mg dexamethasone PO 2.5 day high dose q6h,LP61829-5,post 2 mg dexamethasone PO 2.5 day high dose q6h
C2924273,Conalbumin native (nGal d) 3,LP99508-1,Conalbumin native (nGal d) 3
C3476774,18 degree C incubation,LP146763-0,18 deg C incubation
C0023870,lithium,LP16175-9,Lithium
C0046368,2-methylbutyrylglycine,LP14511-7,2-Methylbutyrylglycine
C0370220,Platelet rich plasma,LP7506-1,PRP
C0370220,Platelet rich plasma,LP263833-8,Platelet rich plasma
C1760428,Suicidal behavior,LP411376-9,Suicidal behavior
C3166729,"When you stopped, cut down, or went without drugs after using drugs steadily, did you ever experience this problem",LP114220-9,"When you stopped, cut down, or went without drugs after using drugs steadily, did you ever experience this problem"
C2363817,Fine needle aspiration of the liver,LP29165-5,Liver.FNA
C0334212,Cervical mucous arborization,LP14745-1,Ferning
C1441948,Ultrasound+Estimated from FL.Jeanty 1984,LP6706-8,US+Estimated from FL.Jeanty 1984
C2924508,Participant had active liver disease,LP98881-3,Participant had active liver disease
C0369600,Leukocyte cast,LP16862-2,Leukocyte casts
C1545841,VA C&P exam.pulmonary tuberculosis &or mycobacterial diseases note,LP73638-6,VA C&P exam.pulmonary tuberculosis &or mycobacterial diseases note
C3176325,How much have your late bedtime and inability to adjust your schedule upset or distressed you,LP121212-7,How much have your late bedtime and inability to adjust your schedule upset or distressed you
C0946144,Income:status,LP267463-0,Income status
C0946144,Income:status,LP56810-2,Income.status
C1719227,Physician NPI,LP73110-6,Physician NPI
C1955149,"3,6-Epoxydodecanedioate",LP62153-9,"3,6-Epoxydodecanedioate"
C1115551,Hepatitis B virus dose count in combination vaccine,LP72688-2,Hepatitis B virus dose count in combination vaccine
C1116455,Structure of femoral vessel,LP249582-0,Femoral vessel
C1116455,Structure of femoral vessel,LP207528-3,Femoral vessels
