PheCode.x	PheCode_desc.x	PheCode.y	PheCode_desc.y
PheCode:286.7	Other and unspecified coagulation defects	PheCode:289	Other diseases of blood and blood-forming organs
PheCode:289.5	Diseases of spleen	PheCode:289	Other diseases of blood and blood-forming organs
PheCode:254	Diseases of thymus gland	PheCode:289	Other diseases of blood and blood-forming organs
PheCode:287	Purpura and other hemorrhagic conditions	PheCode:289	Other diseases of blood and blood-forming organs
PheCode:288	Diseases of white blood cells	PheCode:289	Other diseases of blood and blood-forming organs
PheCode:287.4	Qualitative platelet defects	PheCode:289	Other diseases of blood and blood-forming organs
PheCode:344	Other paralytic syndromes	PheCode:342	Hemiplegia
PheCode:275.1	Disorders of iron metabolism	PheCode:275.11	Hereditary hemochromatosis
PheCode:285	Other anemias	PheCode:282.8	Other hemoglobinopathies
PheCode:269	Proteinuria	PheCode:285.8	Hemoglobinuria
PheCode:282	Hereditary hemolytic anemias	PheCode:283.21	Hemolytic-uremic syndrome
PheCode:282.9	Other hereditary hemolytic anemias	PheCode:283.21	Hemolytic-uremic syndrome
PheCode:446.8	Thrombotic microangiopathy	PheCode:283.21	Hemolytic-uremic syndrome
PheCode:530.7	Gastroesophageal laceration-hemorrhage syndrome	PheCode:287	Purpura and other hemorrhagic conditions
PheCode:286.12	Congenital deficiency of other clotting factors (including factor VII)	PheCode:287	Purpura and other hemorrhagic conditions
PheCode:289	Other diseases of blood and blood-forming organs	PheCode:287	Purpura and other hemorrhagic conditions
PheCode:287.4	Qualitative platelet defects	PheCode:287	Purpura and other hemorrhagic conditions
PheCode:907	Injuries to the nervous system	PheCode:348.7	Coma
PheCode:348.8	Encephalopathy, not elsewhere classified	PheCode:348.7	Coma
PheCode:348.9	Other conditions of brain, NOS	PheCode:348.7	Coma
PheCode:010	Tuberculosis	PheCode:070.9	Hepatitis NOS
PheCode:010	Tuberculosis	PheCode:070	Viral hepatitis
PheCode:317.11	Alcoholic liver damage	PheCode:070.9	Hepatitis NOS
PheCode:317.11	Alcoholic liver damage	PheCode:070	Viral hepatitis
PheCode:070.9	Hepatitis NOS	PheCode:070	Viral hepatitis
PheCode:571.5	Other chronic nonalcoholic liver disease	PheCode:070.9	Hepatitis NOS
PheCode:571.5	Other chronic nonalcoholic liver disease	PheCode:070	Viral hepatitis
PheCode:573	Other disorders of liver	PheCode:070.9	Hepatitis NOS
PheCode:573	Other disorders of liver	PheCode:070	Viral hepatitis
PheCode:070	Viral hepatitis	PheCode:070.9	Hepatitis NOS
PheCode:070.9	Hepatitis NOS	PheCode:070.1	Viral hepatitis A
PheCode:070	Viral hepatitis	PheCode:070.1	Viral hepatitis A
PheCode:070	Viral hepatitis	PheCode:070.2	Viral hepatitis B
PheCode:070.2	Viral hepatitis B	PheCode:070	Viral hepatitis
PheCode:070.9	Hepatitis NOS	PheCode:070.2	Viral hepatitis B
PheCode:573.4	Acute and subacute necrosis of liver	PheCode:317.11	Alcoholic liver damage
PheCode:070.9	Hepatitis NOS	PheCode:317.11	Alcoholic liver damage
PheCode:070	Viral hepatitis	PheCode:317.11	Alcoholic liver damage
PheCode:070	Viral hepatitis	PheCode:070.3	Viral hepatitis C
PheCode:070.9	Hepatitis NOS	PheCode:070.3	Viral hepatitis C
PheCode:612.2	Hypertrophy of breast (Gynecomastia)	PheCode:751.1	Congenital anomalies of genital organs
PheCode:608	Other disorders of male genital organs	PheCode:054	Herpes simplex
PheCode:008	Intestinal infection	PheCode:054	Herpes simplex
PheCode:528.5	Diseases of lips	PheCode:054	Herpes simplex
PheCode:369.2	Eye infection, viral	PheCode:054	Herpes simplex
PheCode:369	Infection of the eye	PheCode:054	Herpes simplex
PheCode:370	Keratitis	PheCode:054	Herpes simplex
PheCode:370	Keratitis	PheCode:369.2	Eye infection, viral
PheCode:369.2	Eye infection, viral	PheCode:053	Herpes zoster
PheCode:079.1	Varicella infection	PheCode:053	Herpes zoster
PheCode:053.1	Herpes zoster with nervous system complications	PheCode:053	Herpes zoster
PheCode:695.2	Bullous dermatoses	PheCode:053	Herpes zoster
PheCode:352.1	Trigeminal nerve disorders [CN5]	PheCode:369.2	Eye infection, viral
PheCode:053	Herpes zoster	PheCode:369.2	Eye infection, viral
PheCode:202	Cancer of other lymphoid, histiocytic tissue	PheCode:288	Diseases of white blood cells
PheCode:450	Noninfectious disorders of lymphatic channels	PheCode:288	Diseases of white blood cells
PheCode:071.1	HIV infection, symptomatic	PheCode:071	Human immunodeficiency virus [HIV] disease
PheCode:260.1	Cachexia	PheCode:071	Human immunodeficiency virus [HIV] disease
PheCode:260.1	Cachexia	PheCode:071.1	HIV infection, symptomatic
PheCode:202.2	Non-Hodgkins lymphoma	PheCode:201	Hodgkin's disease
PheCode:202.22	Reticulosarcoma	PheCode:201	Hodgkin's disease
PheCode:270.11	Disturbances of sulphur-bearing amino-acid metabolism	PheCode:270.2	Disorders of amino-acid metabolism
PheCode:041.1	Staphylococcus infections	PheCode:371.3	Inflammation of eyelids
PheCode:369	Infection of the eye	PheCode:371.3	Inflammation of eyelids
PheCode:371	Inflammation of the eye	PheCode:371.3	Inflammation of eyelids
PheCode:599.1	Urinary obstruction	PheCode:595	Hydronephrosis
PheCode:586	Other disorders of the kidney and ureters	PheCode:595	Hydronephrosis
PheCode:255.1	Adrenal hyperfunction	PheCode:255.12	Hyperaldosteronism
PheCode:255.13	Medulloadrenal hyperfunction	PheCode:255.12	Hyperaldosteronism
PheCode:255.11	Cushing's syndrome	PheCode:255.12	Hyperaldosteronism
PheCode:255	Disorders of adrenal glands	PheCode:255.12	Hyperaldosteronism
PheCode:275.5	Disorders of calcium/phosphorus metabolism	PheCode:275.6	Hypercalcemia
PheCode:277.51	Lipoprotein disorders	PheCode:272.1	Hyperlipidemia
PheCode:277.5	Other disorders of lipoid metabolism	PheCode:272.1	Hyperlipidemia
PheCode:272.9	Unspecified disorder of lipoid metabolism	PheCode:272.1	Hyperlipidemia
PheCode:272.12	Hyperglyceridemia	PheCode:272.1	Hyperlipidemia
PheCode:689	Disorder of skin and subcutaneous tissue NOS	PheCode:272.1	Hyperlipidemia
PheCode:272.14	Hyperchylomicronemia	PheCode:272.1	Hyperlipidemia
PheCode:272.13	Mixed hyperlipidemia	PheCode:272.1	Hyperlipidemia
PheCode:272.12	Hyperglyceridemia	PheCode:272.13	Mixed hyperlipidemia
PheCode:272.14	Hyperchylomicronemia	PheCode:272.13	Mixed hyperlipidemia
PheCode:277.51	Lipoprotein disorders	PheCode:272.13	Mixed hyperlipidemia
PheCode:272.9	Unspecified disorder of lipoid metabolism	PheCode:272.13	Mixed hyperlipidemia
PheCode:277.5	Other disorders of lipoid metabolism	PheCode:272.13	Mixed hyperlipidemia
PheCode:272.1	Hyperlipidemia	PheCode:272.13	Mixed hyperlipidemia
PheCode:272.1	Hyperlipidemia	PheCode:272.12	Hyperglyceridemia
PheCode:272.13	Mixed hyperlipidemia	PheCode:272.12	Hyperglyceridemia
PheCode:367	Disorders of refraction and accommodation; blindness and low vision	PheCode:367.8	Hypermetropia
PheCode:731.1	Osteitis deformans [Paget's disease of bone]	PheCode:733	Other disorders of bone and cartilage
PheCode:756.5	Congenital osteodystrophies	PheCode:733	Other disorders of bone and cartilage
PheCode:733	Other disorders of bone and cartilage	PheCode:756.5	Congenital osteodystrophies
PheCode:253.4	Anterior pituitary disorders	PheCode:253.1	Pituitary hyperfunction
PheCode:255.11	Cushing's syndrome	PheCode:253.1	Pituitary hyperfunction
PheCode:253.11	Acromegaly and gigantism	PheCode:253.1	Pituitary hyperfunction
PheCode:609.1	Infertility, male	PheCode:253.1	Pituitary hyperfunction
PheCode:626.8	Infertility, female	PheCode:253.1	Pituitary hyperfunction
PheCode:642	Hypertension complicating pregnancy, childbirth, and the puerperium	PheCode:401.1	Essential hypertension
PheCode:642	Hypertension complicating pregnancy, childbirth, and the puerperium	PheCode:401	Hypertension
PheCode:348.8	Encephalopathy, not elsewhere classified	PheCode:401.3	Other hypertensive complications
PheCode:242.2	Toxic multinodular goiter	PheCode:242	Thyrotoxicosis with or without goiter
PheCode:246	Other disorders of thyroid	PheCode:242	Thyrotoxicosis with or without goiter
PheCode:613.9	Breast disorder NOS	PheCode:612.2	Hypertrophy of breast (Gynecomastia)
PheCode:302	Sexual and gender identity disorders	PheCode:302.1	Decreased libido
PheCode:255	Disorders of adrenal glands	PheCode:255.22	Mineralocorticoid deficiency
PheCode:758.1	Chromosomal anomalies	PheCode:257.1	Testicular hypofunction
PheCode:275	Disorders of mineral metabolism	PheCode:790.6	Other abnormal blood chemistry
PheCode:275	Disorders of mineral metabolism	PheCode:276.14	Hypopotassemia
PheCode:263	Other nutritional deficiency	PheCode:790.6	Other abnormal blood chemistry
PheCode:263	Other nutritional deficiency	PheCode:276.14	Hypopotassemia
PheCode:277.5	Other disorders of lipoid metabolism	PheCode:277.51	Lipoprotein disorders
PheCode:272.9	Unspecified disorder of lipoid metabolism	PheCode:277.51	Lipoprotein disorders
PheCode:259	Other endocrine disorders	PheCode:253.2	Pituitary hypofunction
PheCode:279.11	Deficiency of humoral immunity	PheCode:279.1	Immunity deficiency
PheCode:279.1	Immunity deficiency	PheCode:279	Disorders involving the immune mechanism
PheCode:288	Diseases of white blood cells	PheCode:279	Disorders involving the immune mechanism
PheCode:696.4	Psoriasis	PheCode:279	Disorders involving the immune mechanism
PheCode:696.41	Psoriasis vulgaris	PheCode:279	Disorders involving the immune mechanism
PheCode:254	Diseases of thymus gland	PheCode:279	Disorders involving the immune mechanism
PheCode:450	Noninfectious disorders of lymphatic channels	PheCode:279	Disorders involving the immune mechanism
PheCode:041.1	Staphylococcus infections	PheCode:686.5	Pyoderma
PheCode:041.1	Staphylococcus infections	PheCode:686.2	Impetigo
PheCode:041.2	Streptococcus infection	PheCode:686.5	Pyoderma
PheCode:041.2	Streptococcus infection	PheCode:686.2	Impetigo
PheCode:686.5	Pyoderma	PheCode:686.2	Impetigo
PheCode:312	Conduct disorders	PheCode:312.3	Impulse control disorder
PheCode:253.4	Anterior pituitary disorders	PheCode:253.7	Other disorders of neurohypophysis
PheCode:253	Disorders of the pituitary gland and its hypothalamic control	PheCode:253.7	Other disorders of neurohypophysis
PheCode:253.11	Acromegaly and gigantism	PheCode:626.8	Infertility, female
PheCode:253.1	Pituitary hyperfunction	PheCode:626.8	Infertility, female
PheCode:253.1	Pituitary hyperfunction	PheCode:609.1	Infertility, male
PheCode:609.11	Azoospermia and oligospermia	PheCode:609.1	Infertility, male
PheCode:608	Other disorders of male genital organs	PheCode:609.1	Infertility, male
PheCode:334.2	Anterior horn cell disease	PheCode:609.1	Infertility, male
PheCode:312	Conduct disorders	PheCode:327	Sleep disorders
PheCode:440	Atherosclerosis	PheCode:443.9	Peripheral vascular disease, unspecified
PheCode:414.2	ASCVD	PheCode:443.9	Peripheral vascular disease, unspecified
PheCode:443	Peripheral vascular disease	PheCode:443.9	Peripheral vascular disease, unspecified
PheCode:557	Intestinal malabsorption (non-celiac)	PheCode:271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption
PheCode:441	Vascular insufficiency of intestine	PheCode:569	Other disorders of intestine
PheCode:158	Neoplasm of unspecified nature of digestive system	PheCode:569	Other disorders of intestine
PheCode:540	Appendiceal conditions	PheCode:569	Other disorders of intestine
PheCode:562.2	Diverticulitis	PheCode:569	Other disorders of intestine
PheCode:564.1	Irritable Bowel Syndrome	PheCode:569	Other disorders of intestine
PheCode:556.11	Angiodysplasia of intestine (without mention of hemorrhage)	PheCode:569	Other disorders of intestine
PheCode:134.1	Intestinal helminthiases	PheCode:569	Other disorders of intestine
PheCode:441.2	Chronic vascular insufficiency of intestine	PheCode:569	Other disorders of intestine
PheCode:557	Intestinal malabsorption (non-celiac)	PheCode:569	Other disorders of intestine
PheCode:564	Functional digestive disorders	PheCode:569	Other disorders of intestine
PheCode:008	Intestinal infection	PheCode:134.1	Intestinal helminthiases
PheCode:569	Other disorders of intestine	PheCode:134.1	Intestinal helminthiases
PheCode:008.7	Intestinal infection due to protozoa	PheCode:134.1	Intestinal helminthiases
PheCode:569	Other disorders of intestine	PheCode:158	Neoplasm of unspecified nature of digestive system
PheCode:153.3	Malignant neoplasm of rectum, rectosigmoid junction, and anus	PheCode:158	Neoplasm of unspecified nature of digestive system
PheCode:153	Colorectal cancer	PheCode:158	Neoplasm of unspecified nature of digestive system
PheCode:681	Superficial cellulitis and abscess	PheCode:324	Other CNS infection and poliomyelitis
PheCode:365	Glaucoma	PheCode:371.1	Uveitis, noninfectious or NOS
PheCode:569	Other disorders of intestine	PheCode:564.1	Irritable Bowel Syndrome
PheCode:441	Vascular insufficiency of intestine	PheCode:459.9	Circulatory disease NEC
PheCode:433.3	Cerebral ischemia	PheCode:459.9	Circulatory disease NEC
PheCode:362.8	Retinal hemorrhage/ischemia	PheCode:459.9	Circulatory disease NEC
PheCode:433.2	Occlusion of cerebral arteries	PheCode:459.9	Circulatory disease NEC
PheCode:741.1	Ankylosis of joint	PheCode:716.9	Arthropathy NOS
PheCode:741	Symptoms and disorders of the joints	PheCode:716.9	Arthropathy NOS
PheCode:714	Rheumatoid arthritis and other inflammatory polyarthropathies	PheCode:716.9	Arthropathy NOS
PheCode:742.8	Articular cartilage disorder	PheCode:716.9	Arthropathy NOS
PheCode:733	Other disorders of bone and cartilage	PheCode:716.9	Arthropathy NOS
PheCode:713.5	Arthropathy associated with neurological disorders	PheCode:716.9	Arthropathy NOS
PheCode:526.41	Temporomandibular joint disorder, unspecified	PheCode:716.9	Arthropathy NOS
PheCode:741.5	Hemarthrosis	PheCode:716.9	Arthropathy NOS
PheCode:727.1	Synovitis and tenosynovitis	PheCode:716.9	Arthropathy NOS
PheCode:274.2	Crystal arthropathies	PheCode:716.9	Arthropathy NOS
PheCode:741.2	Stiffness of joint	PheCode:716.9	Arthropathy NOS
PheCode:728.2	Laxity of ligament or hypermobility syndrome	PheCode:716.9	Arthropathy NOS
PheCode:727.2	Bursitis disorders	PheCode:716.9	Arthropathy NOS
PheCode:727	Other disorders of synovium, tendon, and bursa	PheCode:716.9	Arthropathy NOS
PheCode:716.1	Unspecified polyarthropathy or polyarthritis	PheCode:716.9	Arthropathy NOS
PheCode:727.8	Plica syndrome	PheCode:716.9	Arthropathy NOS
PheCode:726.3	Bursitis	PheCode:716.9	Arthropathy NOS
PheCode:733.6	Costochondritis	PheCode:716.9	Arthropathy NOS
PheCode:526.4	Temporomandibular joint disorders	PheCode:716.9	Arthropathy NOS
PheCode:706.1	Acne	PheCode:701.4	Keloid scar
PheCode:375.1	Dry eyes	PheCode:370.31	Keratoconjunctivitis sicca
PheCode:375	Disorders of lacrimal system	PheCode:370.31	Keratoconjunctivitis sicca
PheCode:375.2	Epiphora	PheCode:370.31	Keratoconjunctivitis sicca
PheCode:702.2	Seborrheic keratosis	PheCode:701.1	Keratoderma, acquired
PheCode:385.3	Cholesteatoma	PheCode:701.1	Keratoderma, acquired
PheCode:689	Disorder of skin and subcutaneous tissue NOS	PheCode:701.1	Keratoderma, acquired
PheCode:528.5	Diseases of lips	PheCode:702.1	Actinic keratosis
PheCode:172	Skin cancer	PheCode:702.1	Actinic keratosis
PheCode:701.1	Keratoderma, acquired	PheCode:702.2	Seborrheic keratosis
PheCode:585	Renal failure	PheCode:585.1	Acute renal failure
PheCode:585.2	Renal failure NOS	PheCode:585.1	Acute renal failure
PheCode:585.2	Renal failure NOS	PheCode:585.3	Chronic renal failure [CKD]
PheCode:585.3	Chronic renal failure [CKD]	PheCode:585.2	Renal failure NOS
PheCode:585	Renal failure	PheCode:585.2	Renal failure NOS
PheCode:585	Renal failure	PheCode:585.3	Chronic renal failure [CKD]
PheCode:250.24	Type 2 diabetes with neurological manifestations	PheCode:585.2	Renal failure NOS
PheCode:250.24	Type 2 diabetes with neurological manifestations	PheCode:585.3	Chronic renal failure [CKD]
PheCode:585.32	End stage renal disease	PheCode:585.2	Renal failure NOS
PheCode:585.32	End stage renal disease	PheCode:585.3	Chronic renal failure [CKD]
PheCode:250.22	Type 2 diabetes with renal manifestations	PheCode:585.2	Renal failure NOS
PheCode:250.22	Type 2 diabetes with renal manifestations	PheCode:585.3	Chronic renal failure [CKD]
PheCode:586	Other disorders of the kidney and ureters	PheCode:585.2	Renal failure NOS
PheCode:586	Other disorders of the kidney and ureters	PheCode:585.3	Chronic renal failure [CKD]
PheCode:586	Other disorders of the kidney and ureters	PheCode:585.1	Acute renal failure
PheCode:586	Other disorders of the kidney and ureters	PheCode:751.21	Cystic kidney disease
PheCode:586.2	Cyst of kidney, acquired	PheCode:751.21	Cystic kidney disease
PheCode:480.1	Bacterial pneumonia	PheCode:041	Bacterial infection NOS
PheCode:752	Nervous system congenital anomalies	PheCode:758.1	Chromosomal anomalies
PheCode:345.1	Epilepsy	PheCode:758.1	Chromosomal anomalies
PheCode:345.11	Generalized convulsive epilepsy	PheCode:758.1	Chromosomal anomalies
PheCode:759	Other and unspecified congenital anomalies	PheCode:754	Congenital musculoskeletal deformities of spine
PheCode:694.3	Vascular disorders of skin	PheCode:759	Other and unspecified congenital anomalies
PheCode:528.6	Leukoplakia of oral mucosa	PheCode:604	Disorders of penis
PheCode:260.22	Nutritional marasmus	PheCode:260.21	Kwashiorkor
PheCode:260	Protein-calorie malnutrition	PheCode:260.21	Kwashiorkor
PheCode:388	Other disorders of ear	PheCode:386.3	Labyrinthitis
PheCode:389.1	Sensorineural hearing loss	PheCode:386.3	Labyrinthitis
PheCode:375.1	Dry eyes	PheCode:375	Disorders of lacrimal system
PheCode:375.2	Epiphora	PheCode:375	Disorders of lacrimal system
PheCode:370.31	Keratoconjunctivitis sicca	PheCode:375	Disorders of lacrimal system
PheCode:527.8	Other specified diseases of the salivary glands	PheCode:375	Disorders of lacrimal system
PheCode:473.4	Voice disturbance	PheCode:473	Diseases of the larynx and vocal cords
PheCode:479	Other upper respiratory disease	PheCode:473	Diseases of the larynx and vocal cords
PheCode:031	Diseases due to other mycobacteria	PheCode:031.1	Leprosy
PheCode:204.1	Lymphoid leukemia	PheCode:204	Leukemia
PheCode:202.23	Lymphosarcoma	PheCode:204	Leukemia
PheCode:204.21	Myeloid leukemia, acute	PheCode:204	Leukemia
PheCode:204.11	Lymphoid leukemia, acute	PheCode:204.1	Lymphoid leukemia
PheCode:204	Leukemia	PheCode:204.1	Lymphoid leukemia
PheCode:204.1	Lymphoid leukemia	PheCode:204.11	Lymphoid leukemia, acute
PheCode:204	Leukemia	PheCode:204.11	Lymphoid leukemia, acute
PheCode:204	Leukemia	PheCode:204.21	Myeloid leukemia, acute
PheCode:204.2	Myeloid leukemia	PheCode:204.21	Myeloid leukemia, acute
PheCode:204.11	Lymphoid leukemia, acute	PheCode:204	Leukemia
PheCode:202.2	Non-Hodgkins lymphoma	PheCode:204.1	Lymphoid leukemia
PheCode:289	Other diseases of blood and blood-forming organs	PheCode:288	Diseases of white blood cells
PheCode:202.2	Non-Hodgkins lymphoma	PheCode:288	Diseases of white blood cells
PheCode:279	Disorders involving the immune mechanism	PheCode:288	Diseases of white blood cells
PheCode:279.11	Deficiency of humoral immunity	PheCode:288	Diseases of white blood cells
PheCode:288.1	Decreased white blood cell count	PheCode:288	Diseases of white blood cells
PheCode:288	Diseases of white blood cells	PheCode:288.1	Decreased white blood cell count
PheCode:288.11	Neutropenia	PheCode:288.1	Decreased white blood cell count
PheCode:604	Disorders of penis	PheCode:528.6	Leukoplakia of oral mucosa
PheCode:704.1	Alopecia	PheCode:695.7	Prurigo and Lichen
PheCode:537	Other disorders of stomach and duodenum	PheCode:151	Cancer of stomach
PheCode:054	Herpes simplex	PheCode:528.5	Diseases of lips
PheCode:214.1	Lipoma of skin and subcutaneous tissue	PheCode:214	Lipoma
PheCode:272.13	Mixed hyperlipidemia	PheCode:272.14	Hyperchylomicronemia
PheCode:272.1	Hyperlipidemia	PheCode:272.14	Hyperchylomicronemia
PheCode:571.51	Cirrhosis of liver without mention of alcohol	PheCode:317.11	Alcoholic liver damage
PheCode:571.51	Cirrhosis of liver without mention of alcohol	PheCode:573	Other disorders of liver
PheCode:070.9	Hepatitis NOS	PheCode:573	Other disorders of liver
PheCode:259	Other endocrine disorders	PheCode:573	Other disorders of liver
PheCode:573.4	Acute and subacute necrosis of liver	PheCode:573	Other disorders of liver
PheCode:070	Viral hepatitis	PheCode:573	Other disorders of liver
PheCode:133	Arthropod-borne diseases	PheCode:573	Other disorders of liver
PheCode:263	Other nutritional deficiency	PheCode:737.2	Lordosis (acquired)
PheCode:681	Superficial cellulitis and abscess	PheCode:681.2	Cellulitis and abscess of face/neck
PheCode:008	Intestinal infection	PheCode:681.2	Cellulitis and abscess of face/neck
PheCode:509.2	Respiratory insufficiency	PheCode:510	Other diseases of lung
PheCode:079	Viral infection	PheCode:510	Other diseases of lung
PheCode:509.1	Respiratory failure	PheCode:510	Other diseases of lung
PheCode:514.2	Solitary pulmonary nodule	PheCode:510	Other diseases of lung
PheCode:165.1	Cancer of bronchus; lung	PheCode:510	Other diseases of lung
PheCode:480.3	Pneumonia due to fungus (mycoses)	PheCode:510	Other diseases of lung
PheCode:483	Acute bronchitis and bronchiolitis	PheCode:510	Other diseases of lung
PheCode:496	Chronic airway obstruction	PheCode:510	Other diseases of lung
PheCode:117	Mycoses	PheCode:480.3	Pneumonia due to fungus (mycoses)
PheCode:510	Other diseases of lung	PheCode:480.3	Pneumonia due to fungus (mycoses)
PheCode:465	Acute upper respiratory infections of multiple or unspecified sites	PheCode:480.3	Pneumonia due to fungus (mycoses)
PheCode:117.4	Aspergillosis	PheCode:480.3	Pneumonia due to fungus (mycoses)
PheCode:496.1	Emphysema	PheCode:496	Chronic airway obstruction
PheCode:496.3	Bronchiectasis	PheCode:496	Chronic airway obstruction
PheCode:446.8	Thrombotic microangiopathy	PheCode:695.4	Lupus (localized and systemic)
PheCode:446.8	Thrombotic microangiopathy	PheCode:695.42	Systemic lupus erythematosus
PheCode:133	Arthropod-borne diseases	PheCode:130.1	Lyme disease
PheCode:130	Spirochetal infection	PheCode:130.1	Lyme disease
PheCode:090	Sexually transmitted infections (not HIV or hepatitis)	PheCode:450	Noninfectious disorders of lymphatic channels
PheCode:474.2	Chronic tonsillitis and adenoiditis	PheCode:450	Noninfectious disorders of lymphatic channels
PheCode:289.5	Diseases of spleen	PheCode:450	Noninfectious disorders of lymphatic channels
PheCode:474.1	Acute tonsillitis	PheCode:450	Noninfectious disorders of lymphatic channels
PheCode:279	Disorders involving the immune mechanism	PheCode:450	Noninfectious disorders of lymphatic channels
PheCode:782.3	Edema	PheCode:450	Noninfectious disorders of lymphatic channels
PheCode:474	Acute and chronic tonsillitis	PheCode:450	Noninfectious disorders of lymphatic channels
PheCode:288	Diseases of white blood cells	PheCode:450	Noninfectious disorders of lymphatic channels
PheCode:134	Helminthiases	PheCode:782.3	Edema
PheCode:134	Helminthiases	PheCode:450	Noninfectious disorders of lymphatic channels
PheCode:450	Noninfectious disorders of lymphatic channels	PheCode:782.3	Edema
PheCode:450	Noninfectious disorders of lymphatic channels	PheCode:090	Sexually transmitted infections (not HIV or hepatitis)
PheCode:201	Hodgkin's disease	PheCode:202.2	Non-Hodgkins lymphoma
PheCode:202.2	Non-Hodgkins lymphoma	PheCode:202.21	Nodular lymphoma
PheCode:204.11	Lymphoid leukemia, acute	PheCode:202.2	Non-Hodgkins lymphoma
PheCode:204.11	Lymphoid leukemia, acute	PheCode:202.21	Nodular lymphoma
PheCode:201	Hodgkin's disease	PheCode:202.22	Reticulosarcoma
PheCode:202.2	Non-Hodgkins lymphoma	PheCode:202.22	Reticulosarcoma
PheCode:170.2	Cancer of connective tissue	PheCode:202.22	Reticulosarcoma
PheCode:170.2	Cancer of connective tissue	PheCode:202.2	Non-Hodgkins lymphoma
PheCode:202.2	Non-Hodgkins lymphoma	PheCode:270.35	Macroglobulinemia
PheCode:277	Other disorders of metabolism	PheCode:270.35	Macroglobulinemia
PheCode:656.3	Endocrine and metabolic disturbances of fetus and newborn	PheCode:270.35	Macroglobulinemia
PheCode:1002	Symptoms concerning nutrition, metabolism, and development	PheCode:270.35	Macroglobulinemia
PheCode:250.4	Abnormal glucose	PheCode:270.35	Macroglobulinemia
PheCode:263	Other nutritional deficiency	PheCode:262	Mineral deficiency NEC
PheCode:271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption	PheCode:557	Intestinal malabsorption (non-celiac)
PheCode:569	Other disorders of intestine	PheCode:557	Intestinal malabsorption (non-celiac)
PheCode:557.1	Celiac disease	PheCode:557	Intestinal malabsorption (non-celiac)
PheCode:008	Intestinal infection	PheCode:133	Arthropod-borne diseases
PheCode:573	Other disorders of liver	PheCode:133	Arthropod-borne diseases
PheCode:131	Protozoan infection	PheCode:133	Arthropod-borne diseases
PheCode:159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	PheCode:155.1	Malignant neoplasm of liver, primary
PheCode:158	Neoplasm of unspecified nature of digestive system	PheCode:155.1	Malignant neoplasm of liver, primary
PheCode:158	Neoplasm of unspecified nature of digestive system	PheCode:151	Cancer of stomach
PheCode:202.2	Non-Hodgkins lymphoma	PheCode:151	Cancer of stomach
PheCode:286.7	Other and unspecified coagulation defects	PheCode:530.7	Gastroesophageal laceration-hemorrhage syndrome
PheCode:287	Purpura and other hemorrhagic conditions	PheCode:530.7	Gastroesophageal laceration-hemorrhage syndrome
PheCode:531.4	Peptic ulcer, site unspecified	PheCode:531.5	Gastrojejunal ulcer
PheCode:530.14	Reflux esophagitis	PheCode:531.5	Gastrojejunal ulcer
PheCode:578.9	Hemorrhage of gastrointestinal tract	PheCode:531.5	Gastrojejunal ulcer
PheCode:531.2	Gastric ulcer	PheCode:531.5	Gastrojejunal ulcer
PheCode:578	Gastrointestinal hemorrhage	PheCode:531.5	Gastrojejunal ulcer
PheCode:530.12	Ulcer of esophagus	PheCode:531.5	Gastrojejunal ulcer
PheCode:531.3	Duodenal ulcer	PheCode:531.5	Gastrojejunal ulcer
PheCode:564	Functional digestive disorders	PheCode:531.5	Gastrojejunal ulcer
PheCode:613.9	Breast disorder NOS	PheCode:613.1	Inflammatory disease of breast
PheCode:756	Other congenital musculoskeletal anomalies	PheCode:756.5	Congenital osteodystrophies
PheCode:716.3	Kaschin-Beck disease	PheCode:756.5	Congenital osteodystrophies
PheCode:752	Nervous system congenital anomalies	PheCode:756.5	Congenital osteodystrophies
PheCode:752	Nervous system congenital anomalies	PheCode:752.11	Spina bifida
PheCode:256	Ovarian dysfunction	PheCode:627.5	Premature menopause and other ovarian failure
PheCode:315.1	Learning disorder	PheCode:315.3	Mental retardation
PheCode:159.4	Malignant neoplasm of retroperitoneum and peritoneum	PheCode:195.1	Malignant neoplasm, other
PheCode:375.2	Epiphora	PheCode:527.8	Other specified diseases of the salivary glands
PheCode:375	Disorders of lacrimal system	PheCode:527.8	Other specified diseases of the salivary glands
PheCode:395.1	Nonrheumatic mitral valve disorders	PheCode:394.2	Mitral valve disease
PheCode:395	Heart valve disorders	PheCode:394.2	Mitral valve disease
PheCode:459.9	Circulatory disease NEC	PheCode:394.2	Mitral valve disease
PheCode:426	Cardiac conduction disorders	PheCode:395.1	Nonrheumatic mitral valve disorders
PheCode:427.5	Arrhythmia (cardiac) NOS	PheCode:395.1	Nonrheumatic mitral valve disorders
PheCode:394.2	Mitral valve disease	PheCode:395.1	Nonrheumatic mitral valve disorders
PheCode:427	Cardiac dysrhythmias	PheCode:395.1	Nonrheumatic mitral valve disorders
PheCode:525	Other diseases of the teeth and supporting structures	PheCode:520	Disorders of tooth development
PheCode:350.3	Lack of coordination	PheCode:350	Abnormal movement
PheCode:350.3	Lack of coordination	PheCode:333	Extrapyramidal disease and abnormal movement disorders
PheCode:334.1	Spinocerebellar disease	PheCode:350	Abnormal movement
